address,county,bed,bath,prop_type,area,price,price_n
"40B Ascal A Haon, Yellowbatter, Drogheda, Co. Louth", Co. Louth,1 Bed,1 Bath,End of Terrace,40 m²,"€145,000",145000.0
"Drummacrutten, Silverstream, Monaghan, Co. Monaghan", Co. Monaghan,4 Bed,1 Bath,Bungalow,108 m²,"€210,000",210000.0
"Ballynorth, Askeaton, Co. Limerick", Co. Limerick,,,Site,0.5 ac,Price on Application,0.0
"16 Albert Park, Sandycove, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Semi-D,112 m²,"€795,000",795000.0
"Valhalla, Derreennatra, Schull, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,228 m²,"€795,000",795000.0
"Lissaclarig West, Ballydehob, Co. Cork", Co. Cork,5 Bed,4 Bath,Detached,264 m²,"€395,000",395000.0
"23A Greenmount Lawns, Terenure, Dublin 6", Dublin 6,1 Bed,1 Bath,Apartment,56 m²,"€275,000",275000.0
"Ardagh, Ballyliffin, Co. Donegal", Co. Donegal,,,Site,0.54 ac,"€95,000",95000.0
"40 Kirwan Street Cottages, Stoneybatter, Dublin 7", Dublin 7,1 Bed,1 Bath,Terrace,35 m²,"€245,000",245000.0
"90 Saul Road, Crumlin, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,65 m²,"€325,000",325000.0
"Kilcoole, Rathoe, Carlow Town, Co. Carlow", Co. Carlow,,,Site,0.5 ac,"€85,000",85000.0
"16 St. Johns Street, Blackpitts, South Circular Road, Dublin 8", Dublin 8,2 Bed,1 Bath,Terrace,,"€399,950",399950.0
"76 Pembroke Cottages Donnybrook Dublin 4, Donnybrook, Dublin 4", Dublin 4,2 Bed,1 Bath,Bungalow,52 m²,"€575,000",575000.0
"Killachunna, Killimor, Ballinasloe, Co. Galway", Co. Galway,4 Bed,4 Bath,Detached,264 m²,"€385,000",385000.0
"Kiltormer Road, Ballinasloe, Co. Galway", Co. Galway,4 Bed,4 Bath,Detached,195 m²,"€325,000",325000.0
"Bella Vista, 35 Cedarwood Road, Glasnevin, Dublin 11", Dublin 11,4 Bed,2 Bath,Semi-D,,"€550,000",550000.0
"BERKLEY LODGE, 4 Abbeyville, Adare, Co. Limerick", Co. Limerick,7 Bed,7 Bath,Detached,218 m²,"€585,000",585000.0
"Annacreevy, Adelaide Road, Glenageary, Co. Dublin", Co. Dublin,6 Bed,6 Bath,Detached,568 m²,"€4,250,000",4250000.0
"5 Wolfe Tone Square North, Bray, Co. Wicklow", Co. Wicklow,2 Bed,1 Bath,Terrace,76 m²,"€300,000",300000.0
"The Mills, Lismore, Co. Waterford", Co. Waterford,,,Semi-D,,Price on Application,0.0
"Tragara, Nerano Road, Dalkey, Co. Dublin", Co. Dublin,6 Bed,4 Bath,Detached,290 m²,"€3,000,000",3000000.0
"4 Marlborough Court Glenageary, Glenageary, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Terrace,92 m²,"€550,000",550000.0
"Tullamaine, Fethard, Co. Tipperary", Co. Tipperary,4 Bed,2 Bath,Detached,,"€395,000",395000.0
"87A Beechwood Downs, Clonsilla, Dublin 15", Dublin 15,2 Bed,2 Bath,Detached,106 m²,"€275,000",275000.0
"82 Curragh Woods, Frankfield, Douglas, Co. Cork", Co. Cork,4 Bed,3 Bath,Semi-D,,"€395,000",395000.0
"Gortmellia Strand, Barnatra, Ballina, Co. Mayo", Co. Mayo,2 Bed,1 Bath,Detached,,"€229,950",229950.0
"50 Creston Avenue, Saint Margaret's Road, Finglas, Dublin 11", Dublin 11,2 Bed,2 Bath,Terrace,105 m²,"€270,000",270000.0
"40 Marren Park, Ballymote, Co. Sligo", Co. Sligo,2 Bed,1 Bath,End of Terrace,75 m²,"€59,000",59000.0
"Carrownamaddy, Dunfanaghy, Co. Donegal", Co. Donegal,,,Site,100 ac,"€215,000",215000.0
"4 Sundale Meadow, Tallaght, Dublin 24", Dublin 24,3 Bed,2 Bath,Semi-D,84 m²,"€245,000",245000.0
"Curraghleas, Letterkenny, Co. Donegal", Co. Donegal,,,Site,0.67 ac,"€80,000",80000.0
"Crevary Upper, Rathmullan, Co. Donegal", Co. Donegal,4 Bed,4 Bath,Detached,240 m²,"€299,500",299500.0
"1 Wheatfields Avenue, Clondalkin, Dublin 22", Dublin 22,3 Bed,1 Bath,Terrace,85 m²,"€219,000",219000.0
"Cullenstown, Co. Wexford", Co. Wexford,4 Bed,3 Bath,Detached,367 m²,"€525,000",525000.0
"9 Iona Drive, Glasnevin, Dublin 9", Dublin 9,8 Bed,8 Bath,Detached,230 m²,"€1,900,000",1900000.0
"C9 Edward Court, Edward Street, Tralee, Co. Kerry", Co. Kerry,1 Bed,1 Bath,Apartment,,"€99,000",99000.0
"Apartment 10, Richmond Square, Morning Star Avenue, Dublin 7", Dublin 7,1 Bed,1 Bath,Apartment,40 m²,"€225,000",225000.0
"Coore West, Mullagh, Co. Clare", Co. Clare,5 Bed,2 Bath,Detached,172 m²,"€250,000",250000.0
"Gortadooey, Claregalway, Co. Galway", Co. Galway,4 Bed,3 Bath,Detached,,"€370,000",370000.0
"40 Clareview Park, Ballybane, Co. Galway", Co. Galway,3 Bed,2 Bath,Terrace,,"€240,000",240000.0
"80 Waterfall Road, Bishopstown, Co. Cork", Co. Cork,4 Bed,2 Bath,Detached,156 m²,"€435,000",435000.0
"28 Leeson Park Avenue Ranelagh Dublin 6, Ranelagh, Dublin 6", Dublin 6,2 Bed,2 Bath,Terrace,135 m²,"€1,150,000",1150000.0
"12 Ashley Crescent, Athlone, Co. Westmeath", Co. Westmeath,4 Bed,2 Bath,Semi-D,,"€320,000",320000.0
"Apartment 2, Bridle Walk, Portlaoise, Co. Laois", Co. Laois,2 Bed,2 Bath,Apartment,,"€136,000",136000.0
"19 Glen Park, Macroom, Co. Cork", Co. Cork,4 Bed,3 Bath,Semi-D,,"€250,000",250000.0
"Hilltop, Rampark, Castlerea, Co. Roscommon", Co. Roscommon,3 Bed,2 Bath,Detached,153 m²,"€195,000",195000.0
"Curraghadoo, Ennistymon, Co. Clare", Co. Clare,,,Site,1 ac,"€15,000",15000.0
"Curraghadoo, Ennistymon, Co. Clare", Co. Clare,,,Site,1.5 ac,"€20,000",20000.0
"31 Orchid Grove Abbeyfort, Kinsale, Co. Cork", Co. Cork,4 Bed,3 Bath,Townhouse,165 m²,"€420,000",420000.0
"88 Ciamaltha Meadows, Nenagh, Co. Tipperary", Co. Tipperary,4 Bed,,Semi-D,132 m²,"€265,000",265000.0
"5 Bokbrook Avenue, Tallaght, Dublin 24", Dublin 24,3 Bed,1 Bath,Semi-D,,"€279,950",279950.0
"Curraghadoo, Ennistymon, Co. Clare", Co. Clare,,,Site,7.5 ac,"€75,000",75000.0
"Curraghadoo, Ennistymon, Co. Clare", Co. Clare,,,Site,10.5 ac,"€100,000",100000.0
"5 Mountjoy Square North, Dublin 1", Dublin 1,2 Bed,1 Bath,Apartment,86 m²,"€295,000",295000.0
"George Street, Churchtown, Mallow, Co. Cork", Co. Cork,3 Bed,1 Bath,End of Terrace,109 m²,"€75,000",75000.0
"Dough, Lahinch, Co. Clare", Co. Clare,,,Site,3.5 ac,"€35,000",35000.0
"73 Rann Mór Walk, Crievesmith, Letterkenny, Co. Donegal", Co. Donegal,4 Bed,1 Bath,Semi-D,114 m²,"€189,000",189000.0
"32 Moylaragh Road, Balbriggan, Co. Dublin", Co. Dublin,4 Bed,2 Bath,Semi-D,118 m²,"€299,000",299000.0
"Melrose, 25 Pearse Place, Ballyphehane, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,69 m²,"€250,000",250000.0
"Woodpark, Castleconnell, Co. Limerick", Co. Limerick,3 Bed,2 Bath,Detached,136 m²,"€250,000",250000.0
"Arrabrook Cottage, Baile Na Coille, Annaghdown, Co. Galway", Co. Galway,4 Bed,3 Bath,Detached,107 m²,"€299,000",299000.0
"20 Beechmount Avenue, Stameen, Drogheda, Co. Louth", Co. Louth,3 Bed,2 Bath,Detached,,"€305,000",305000.0
"Ross Rua, Killestry, Killaloe, Co. Clare", Co. Clare,4 Bed,2 Bath,Bungalow,,"€265,000",265000.0
"Deslyn, New Road, Bandon, Co. Cork", Co. Cork,2 Bed,1 Bath,Townhouse,65 m²,"€169,000",169000.0
"Killeary, Navan, Co. Meath", Co. Meath,4 Bed,2 Bath,Detached,152 m²,"€349,950",349950.0
"108 Clontarf Road, Clontarf, Dublin 3", Dublin 3,4 Bed,1 Bath,Semi-D,118 m²,"€820,000",820000.0
"80 Ailesbury Road, Ballsbridge, Dublin 4", Dublin 4,3 Bed,4 Bath,End of Terrace,234 m²,"€2,750,000",2750000.0
"29 Moylaragh Walk, Balbriggan, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Terrace,,"€225,000",225000.0
"15 The Paddocks, Newcastle West, Co. Limerick", Co. Limerick,3 Bed,3 Bath,Semi-D,,"€175,000",175000.0
"31 Fair Street West, Mallow, Co. Cork", Co. Cork,3 Bed,1 Bath,Terrace,65 m²,"€80,000",80000.0
"Diamond, Dungloe, Co. Donegal", Co. Donegal,4 Bed,2 Bath,Detached,135 m²,"€225,000",225000.0
"Larganreagh, Downings, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Bungalow,,"€250,000",250000.0
"Chapel Glen, Clonmany, Co. Donegal", Co. Donegal,8 Bed,5 Bath,Detached,,"€299,000",299000.0
"Site 19, Bruach na Habhainn, Killeen, Maganey, Carlow Town, Co. Carlow", Co. Carlow,,,Site,0.2 ac,"€50,000",50000.0
"904 Ladycastle, Straffan, Co. Kildare", Co. Kildare,4 Bed,5 Bath,Detached,353 m²,"€1,250,000",1250000.0
"26 The Rise, Inse Bay, Laytown, Co. Meath", Co. Meath,3 Bed,3 Bath,Semi-D,98 m²,"€275,000",275000.0
"Drumdigus, Kilmurry Mcmahon, Co. Clare", Co. Clare,4 Bed,3 Bath,Detached,217 m²,"€300,000",300000.0
"Glen Road, Loughanure, Co. Donegal", Co. Donegal,,,Site,7 ac,"€29,950",29950.0
"28 Fitzgerald Street, Harold's Cross, Dublin 6", Dublin 6,2 Bed,1 Bath,Terrace,75 m²,"€425,000",425000.0
"Ardnacrohy, Newcastle West, Co. Limerick", Co. Limerick,4 Bed,2 Bath,Detached,,"€275,000",275000.0
"Haddon Lodge, Thormanby Road, Howth, Dublin 13", Dublin 13,5 Bed,2 Bath,Detached,290 m²,"€1,200,000",1200000.0
"0.4 Acre Site, Oranmore Village, Oranmore, Co. Galway", Co. Galway,,,Site,0.4 ac,"€400,000",400000.0
"71 Galtymore Drive, Drimnagh, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,70 m²,"€299,000",299000.0
"Upper Main St, Manorhamilton, Co. Leitrim", Co. Leitrim,2 Bed,1 Bath,Terrace,72 m²,"€75,000",75000.0
"Corlack, Bunratty, Co. Clare", Co. Clare,5 Bed,3 Bath,Detached,292 m²,"€460,000",460000.0
"James Street, Dublin 8", Dublin 8,11 Bed,11 Bath,Terrace,,"€850,000",850000.0
"Avaltygort, Killygordon, Co. Donegal", Co. Donegal,6 Bed,2 Bath,Detached,176 m²,Price on Application,0.0
"Main Street, Ballylanders, Co. Limerick", Co. Limerick,6 Bed,1 Bath,Terrace,149 m²,Price on Application,0.0
"Ros Na Ri, Forramoyle East, Barna, Co. Galway", Co. Galway,7 Bed,3 Bath,Detached,298 m²,"€750,000",750000.0
"Clermont Haggardstown, Dundalk, Co. Louth", Co. Louth,,,Site,18 ac,Price on Application,0.0
"Knocknagun, Carrigkerry, Co. Limerick", Co. Limerick,,,Site,0.5 ac,"€48,000",48000.0
"Dragon's Orchard, Monart East, Enniscorthy, Co. Wexford", Co. Wexford,4 Bed,4 Bath,Detached,196 m²,"€295,000",295000.0
"15 Birch Grove, Ard Na Sidhe, Clonmel, Co. Tipperary", Co. Tipperary,4 Bed,4 Bath,Semi-D,163 m²,"€313,000",313000.0
"90A Saint Peter's Terrace, Howth, Dublin 13", Dublin 13,3 Bed,3 Bath,Semi-D,110 m²,"€675,000",675000.0
"26 Crescent Court, Cappawhite, Co. Tipperary", Co. Tipperary,3 Bed,3 Bath,Semi-D,102 m²,"€140,000",140000.0
"3 Chatsworth, Donnybrook Hill, Donnybrook, Co. Cork", Co. Cork,3 Bed,2 Bath,Townhouse,106 m²,"€309,000",309000.0
"44 Oakley Park, Tullow Road, Carlow Town, Co. Carlow", Co. Carlow,3 Bed,1 Bath,Semi-D,,"€220,000",220000.0
"Tully, Glenroe, Kilmallock, Co. Limerick", Co. Limerick,3 Bed,2 Bath,Detached,,"€214,950",214950.0
"Glenroe near, Mitchelstown, Co. Cork", Co. Cork,3 Bed,2 Bath,Detached,,"€215,000",215000.0
"THE KINO, Washington Street West, Co. Cork", Co. Cork,1 Bed,1 Bath,Detached,279 m²,"€700,000",700000.0
"Drumgora, Stradone, Co. Cavan", Co. Cavan,,,Site,4 ac,"€60,000",60000.0
"6 Rankin's Wood, Portlaoise, Co. Laois", Co. Laois,3 Bed,3 Bath,Terrace,144 m²,"€250,000",250000.0
"1 Harty Place, Dublin 8", Dublin 8,2 Bed,1 Bath,End of Terrace,50 m²,"€495,000",495000.0
"59 The Mill, Weavers Square, Cork Street, Dublin 8", Dublin 8,2 Bed,1 Bath,Apartment,62 m²,"€300,000",300000.0
"Kedleston, 18 The Rise, Malahide, Co. Dublin", Co. Dublin,5 Bed,2 Bath,Detached,175 m²,"€1,500,000",1500000.0
"123 Ashcroft, Raheny, Dublin 5", Dublin 5,2 Bed,1 Bath,Terrace,71 m²,"€350,000",350000.0
"Lissarulla, Carnmore, Claregalway, Co. Galway", Co. Galway,,,Site,,"€125,000",125000.0
"Gortnagross, Athea, Co. Limerick", Co. Limerick,,,Site,0.46 ac,"€45,000",45000.0
"1 Friarsland Roebuck Road Clonskeagh Dublin 14, Clonskeagh, Dublin 14", Dublin 14,5 Bed,5 Bath,Semi-D,172 m²,"€845,000",845000.0
"Apartment 35, Roneragh Apartments, Fahan, Co. Donegal", Co. Donegal,2 Bed,2 Bath,Apartment,79 m²,"€160,000",160000.0
"16 Gleann Dé¡ire, Ardagh, Co. Limerick", Co. Limerick,4 Bed,2 Bath,Semi-D,118 m²,"€125,000",125000.0
"11 Gleann Dé¡ire, Ardagh, Co. Limerick", Co. Limerick,4 Bed,2 Bath,Semi-D,118 m²,"€130,000",130000.0
"Poulanargid, Lissarda, Co. Cork", Co. Cork,4 Bed,3 Bath,Detached,,"€165,000",165000.0
"Apartment 13, The Court, Dalcassian Downs, Glasnevin, Dublin 11", Dublin 11,1 Bed,1 Bath,Apartment,32 m²,"€199,950",199950.0
"25 Melville Terrace, Meakstown, Finglas, Dublin 11", Dublin 11,4 Bed,2 Bath,Terrace,,"€324,950",324950.0
"Rosemount, Moate, Co. Westmeath", Co. Westmeath,2 Bed,1 Bath,Detached,74 m²,"€100,000",100000.0
"78 Landen Road, Ballyfermot, Dublin 10", Dublin 10,2 Bed,1 Bath,Semi-D,,"€274,950",274950.0
"Kinvara, Blessington Road, Tallaght, Dublin 24", Dublin 24,4 Bed,1 Bath,Semi-D,111 m²,"€250,000",250000.0
"6 Park Wood, Grangerath, Drogheda, Co. Meath", Co. Meath,2 Bed,2 Bath,Apartment,71 m²,"€190,000",190000.0
"Manderley, 4 Ellerslie Villas, Bray, Co. Wicklow", Co. Wicklow,5 Bed,4 Bath,Semi-D,312 m²,"€1,295,000",1295000.0
"31 Henry Street, Kilrush, Co. Clare", Co. Clare,3 Bed,2 Bath,Duplex,,"€149,950",149950.0
"Apartment 230A, Block B, Aylmer Park, Naas, Co. Kildare", Co. Kildare,2 Bed,1 Bath,Apartment,66 m²,"€195,000",195000.0
"Apartment 50, Kirkpatrick House, Dublin 1", Dublin 1,2 Bed,2 Bath,Apartment,68 m²,"€425,000",425000.0
"26 Wellpark Grove, Wellpark, Co. Galway", Co. Galway,4 Bed,2 Bath,Detached,98 m²,"€400,000",400000.0
"25 Baily Point, Upper Salthill, Salthill, Co. Galway", Co. Galway,2 Bed,2 Bath,Apartment,58 m²,"€250,000",250000.0
"39 Ashbrook, Castlelake, Carrigtwohill, Co. Cork", Co. Cork,2 Bed,1 Bath,Apartment,93 m²,"€210,000",210000.0
"Rathdrought, Ballinadee, Bandon, Co. Cork", Co. Cork,,,Site,1.85 ac,Price on Application,0.0
"64 Bangor Road, Crumlin, Dublin 12", Dublin 12,2 Bed,1 Bath,Terrace,75 m²,"€225,000",225000.0
"9 Brianville Park, Belfast City Centre, Co. Antrim", Co. Antrim,3 Bed,1 Bath,Detached,,"£87,500 (€101,919)",101919.0
"Coneyburrow, Ballybofey Road, Lifford, Co. Donegal", Co. Donegal,4 Bed,2 Bath,Detached,,"€218,000",218000.0
"Stralongford, Drumkeen, Co. Donegal", Co. Donegal,,,Site,0.5 ac,"€35,000",35000.0
"Monilea, Clonkill, Mullingar, Co. Westmeath", Co. Westmeath,4 Bed,3 Bath,Detached,,Price on Application,0.0
"Cooliska, Coachford, Co. Cork", Co. Cork,,,Site,1.5 ac,"€105,000",105000.0
"5 Moracrete Cottages, Crumlin Road, Crumlin, Dublin 12", Dublin 12,3 Bed,2 Bath,Terrace,94 m²,"€325,000",325000.0
"106 Upper Church Street, Listowel, Co. Kerry", Co. Kerry,3 Bed,2 Bath,Terrace,90 m²,"€115,000",115000.0
"36 Greenhills Court, Tallaght, Dublin 24", Dublin 24,1 Bed,1 Bath,Apartment,,"€205,000",205000.0
"A26, Bastion Quay, Athlone, Co. Westmeath", Co. Westmeath,5 Bed,5 Bath,Apartment,334 m²,Price on Application,0.0
"310 Pier Head Apartments, Store Street, Youghal, Co. Cork", Co. Cork,2 Bed,2 Bath,Apartment,66 m²,"€150,000",150000.0
"Ossory Lodge, Dunmore Park, Kilkenny, Co. Kilkenny", Co. Kilkenny,4 Bed,4 Bath,Detached,260 m²,"€795,000",795000.0
"Springfield, Blackwood, Athy, Co. Kildare", Co. Kildare,5 Bed,4 Bath,Detached,214 m²,"€450,000",450000.0
"94 Rossvale, Mountmellick Road, Portlaoise, Co. Laois", Co. Laois,4 Bed,3 Bath,Detached,,"€299,999",299999.0
"Ballytarsna, Kilshanny, Co. Clare", Co. Clare,,,Site,0.81 ac,"€50,000",50000.0
"Ochiltree, Marble Hill, Co. Donegal", Co. Donegal,5 Bed,5 Bath,Detached,350 m²,"€950,000",950000.0
"181 Cois Na H-Abhainn, Ballygaddy Road, Tuam, Co. Galway", Co. Galway,4 Bed,1 Bath,Semi-D,115 m²,"€185,000",185000.0
"41 La Touche Drive, Bluebell, Dublin 12", Dublin 12,3 Bed,1 Bath,Terrace,75 m²,"€275,000",275000.0
"137 Palace Fields, Tuam, Co. Galway", Co. Galway,4 Bed,2 Bath,Semi-D,117 m²,"€220,000",220000.0
"Mornington Lodge, 2 Rathmichael Haven, Rathmichael, Co. Dublin", Co. Dublin,5 Bed,5 Bath,Detached,418 m²,"€1,595,000",1595000.0
"9 Victoria Park, Kilkee, Co. Clare", Co. Clare,3 Bed,3 Bath,Semi-D,102 m²,"€199,000",199000.0
"13 Pé¡irc An Claoné¡n, Freemount, Co. Cork", Co. Cork,4 Bed,2 Bath,Bungalow,111 m²,"€225,000",225000.0
"MARIO'S, 5 Main Street, Newtownmountkennedy, Co. Wicklow", Co. Wicklow,3 Bed,2 Bath,Detached,,"€550,000",550000.0
"28 Saint Mary's Crescent, Walkinstown, Dublin 12", Dublin 12,2 Bed,3 Bath,Terrace,72 m²,"€308,000",308000.0
"197 Old Youghal Road, Co. Cork", Co. Cork,2 Bed,1 Bath,End of Terrace,37 m²,"€175,000",175000.0
"Flat 10, Whitecroft Court, Moate, Co. Westmeath", Co. Westmeath,4 Bed,4 Bath,Apartment,122 m²,"€250,000",250000.0
"Ballygibbon, Blarney, Co. Cork", Co. Cork,4 Bed,1 Bath,Bungalow,117 m²,"€335,000",335000.0
"11 Mangerton Road, Drimnagh, Dublin 12", Dublin 12,3 Bed,2 Bath,Terrace,,"€289,950",289950.0
"23 The Willows, Churchfield, Mallow, Co. Cork", Co. Cork,3 Bed,3 Bath,End of Terrace,119 m²,"€185,000",185000.0
"Apartment 53, Trinity Plaza, Dublin 2", Dublin 2,1 Bed,1 Bath,Apartment,43 m²,"€305,000",305000.0
"7 Marina Village, Malahide, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Duplex,132 m²,"€675,000",675000.0
"Apartment 3, The Oaks, Clonshaugh, Dublin 17", Dublin 17,2 Bed,1 Bath,Apartment,,"€225,000",225000.0
"11 Saint Ita's Terrace, Saint Ita's Road, Newcastle West, Co. Limerick", Co. Limerick,2 Bed,1 Bath,Terrace,56 m²,"€125,000",125000.0
"42 Clanhugh Road, Donnycarney, Dublin 3", Dublin 3,2 Bed,2 Bath,Terrace,68 m²,"€310,000",310000.0
"1 Ardee Court, Ardee Road, Rathmines, Dublin 6", Dublin 6,3 Bed,2 Bath,Apartment,70 m²,"€435,000",435000.0
"6 Castle Court, Carrickbeg, Co. Tipperary", Co. Tipperary,4 Bed,3 Bath,Semi-D,,Price on Application,0.0
"Ratra, Frenchpark, Co. Roscommon", Co. Roscommon,3 Bed,2 Bath,Detached,116 m²,"€145,000",145000.0
"29 Moeran Road, Walkinstown",,3 Bed,2 Bath,End of Terrace,,"€399,950",399950.0
"Calhame, Bruckless, Co. Donegal", Co. Donegal,4 Bed,3 Bath,Detached,,"€265,000",265000.0
"Cloughlea, Sixmilebridge, Co. Clare", Co. Clare,,,Site,0.5 ac,"€90,000",90000.0
"Funshinagh, Four Roads, Co. Roscommon", Co. Roscommon,3 Bed,1 Bath,Bungalow,84 m²,"€130,000",130000.0
"Grange, Church Road, Blackwater, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Detached,100 m²,"AMV: €100,000",100000.0
"Newport, Co. Tipperary", Co. Tipperary,,,Site,,Price on Application,0.0
"Ardaval, 38 Park Drive, Killarney, Co. Kerry", Co. Kerry,5 Bed,2 Bath,Semi-D,139 m²,"€270,000",270000.0
"Woodpark, Annaghdown, Co. Galway", Co. Galway,,,Site,1 ac,"€70,000",70000.0
"Drumakeenan, Redhills, Co. Cavan", Co. Cavan,3 Bed,,Detached,,"€79,000",79000.0
"76 Charles Street, Listowel, Co. Kerry", Co. Kerry,3 Bed,2 Bath,Terrace,110 m²,"€185,000",185000.0
"10 Ailesbury Court, Ailesbury Road, Donnybrook, Dublin 4", Dublin 4,2 Bed,2 Bath,Apartment,82 m²,"€495,000",495000.0
"Green Street, Callan, Co. Kilkenny", Co. Kilkenny,3 Bed,1 Bath,Terrace,,"€120,000",120000.0
"51 Jkl Place, New Ross, Co. Wexford", Co. Wexford,4 Bed,1 Bath,Terrace,,"€135,000",135000.0
"Apartment 5, Salem House, Salem Court, Rathgar, Dublin 6", Dublin 6,2 Bed,1 Bath,Apartment,,"€260,000",260000.0
"Cornaroy, Drumshanbo, Co. Leitrim", Co. Leitrim,5 Bed,3 Bath,Detached,154 m²,"€260,000",260000.0
"3 Barrow Street, Grand Canal Dock, Dublin 4", Dublin 4,2 Bed,1 Bath,Terrace,102 m²,"€525,000",525000.0
"18 Pinewood Court, Huntstown, Clonsilla, Dublin 15", Dublin 15,4 Bed,3 Bath,Semi-D,,"€340,000",340000.0
"2 Rockfield Close, Ardee, Co. Louth", Co. Louth,4 Bed,1 Bath,Detached,140 m²,"€330,000",330000.0
"6 Thompson Cottages, North Circular Road, Dublin 7", Dublin 7,2 Bed,1 Bath,Terrace,48 m²,"€228,000",228000.0
"Derelict Farmhouse & Farmyard on C. 1.4 Acre / 0.56 Ha., Kilbaylet, Donard, Co. Wicklow", Co. Wicklow,,,Site,1.4 ac,"€149,000",149000.0
"Swallow's Rest, Kilnew, Blackwater, Co. Wexford", Co. Wexford,4 Bed,3 Bath,Detached,187 m²,"€399,000",399000.0
"Apartment 1, The Moors, Bettystown, Co. Meath", Co. Meath,,,Site,0.58 ac,"€200,000",200000.0
"Magheroarty, Gortahork, Co. Donegal", Co. Donegal,4 Bed,3 Bath,Detached,176 m²,"€295,000",295000.0
"Simmonscourt Terrace Donnybrook Dublin 4, Donnybrook, Dublin 4", Dublin 4,2 Bed,1 Bath,Bungalow,95 m²,"€695,000",695000.0
"3 Ballygihen Avenue Sandycove, Sandycove, Co. Dublin", Co. Dublin,4 Bed,3 Bath,Terrace,285 m²,"€2,000,000",2000000.0
"Middleborough House, Longwood, Co. Meath", Co. Meath,5 Bed,4 Bath,Detached,210 m²,"AMV: €1,000,000",1000000.0
"CELTIC TWILIGHT, Rock Cottages, Killeens, Co. Cork", Co. Cork,2 Bed,2 Bath,Semi-D,158 m²,"€270,000",270000.0
"29 Maple Drive, Drogheda, Co. Louth", Co. Louth,3 Bed,2 Bath,Semi-D,120 m²,"€210,000",210000.0
"204 An Ré­ Rua, Bettystown Town Centre, Bettystown, Co. Meath", Co. Meath,2 Bed,2 Bath,Apartment,84 m²,"€195,000",195000.0
"37 Elm Park, Claremorris, Co. Mayo", Co. Mayo,3 Bed,3 Bath,Semi-D,105 m²,"€179,000",179000.0
"2 Listrahee, Ballinalee, Co. Longford", Co. Longford,4 Bed,3 Bath,Detached,,"€190,000",190000.0
"Flat 4, Block A, Henrietta House, Dublin 1", Dublin 1,2 Bed,1 Bath,Apartment,65 m²,"€260,000",260000.0
"Beechview, Clownings, Straffan, Co. Kildare", Co. Kildare,6 Bed,3 Bath,Detached,427 m²,"€1,300,000",1300000.0
"5 Silkwood, Mulberry Road, Mitchelstown, Co. Cork", Co. Cork,5 Bed,4 Bath,Detached,186 m²,"€360,000",360000.0
"5 Beech Rise, Crann Ard, Fermoy, Co. Cork", Co. Cork,3 Bed,3 Bath,Detached,121 m²,Price on Application,0.0
"18 Cul Daire, Lissycasey, Co. Clare", Co. Clare,4 Bed,3 Bath,Detached,170 m²,"€230,000",230000.0
"Apartment 17, The Monastery, Youghal, Co. Cork", Co. Cork,2 Bed,2 Bath,Apartment,90 m²,"€300,000",300000.0
"5 Rossmere Court, Bundoran, Co. Donegal", Co. Donegal,2 Bed,1 Bath,Semi-D,,"€130,000",130000.0
"Ardmaclancy, Kilmurry, Co. Clare", Co. Clare,,,Site,0.46 ac,"€120,000",120000.0
"18 Ridgewood Grove, Swords, Co. Dublin", Co. Dublin,3 Bed,2 Bath,Apartment,96 m²,"€305,000",305000.0
"St Nicholas's Church Moyliskar, Mullingar, Co. Westmeath", Co. Westmeath,1 Bed,,Detached,139 m²,"€170,000",170000.0
"St Nicholas' Church Moyliskar, Mullingar, Co. Westmeath", Co. Westmeath,1 Bed,,Detached,139 m²,"€170,000",170000.0
"24 Cuan Na Greine, Crooke, Passage East, Co. Waterford", Co. Waterford,4 Bed,3 Bath,Semi-D,,"€225,000",225000.0
"13 The Willow, Grattan Wood, Hole-In-The-Wall Road, Donaghmede, Dublin 13", Dublin 13,2 Bed,2 Bath,Apartment,69 m²,"€255,000",255000.0
"34 Mount Symon Green, Clonsilla, Dublin 15", Dublin 15,4 Bed,3 Bath,Semi-D,110 m²,"€370,000",370000.0
"16 Westwood Park, Clara, Co. Offaly", Co. Offaly,3 Bed,2 Bath,Semi-D,100 m²,"€170,000",170000.0
